Time (s),Illuminance (lx)
0,55
0.022206,50
0.222206052,46
0.422206104,60
0.622205948,60
0.847208136,60
1.047205115,61
1.247206521,61
1.447206313,61
1.672206209,61
1.872206261,61
2.072206261,60
2.272206521,60
2.472210063,59
2.697206209,59
2.897207563,59
3.097206052,58
3.297206625,58
3.522206313,57
3.722205948,55
3.922204959,54
4.122206052,54
4.347206365,54
4.547205844,53
4.747206209,53
4.94720475,54
5.172206313,54
5.372206,54
5.5722085,54
5.772206313,54
5.997205948,54
6.19720574,54
6.397206104,53
6.597207719,54
6.822206,54
7.02220824,53
7.222205948,54
7.422206104,53
7.647206313,53
7.847206209,53
8.047207927,54
8.247206209,53
8.472208188,53
8.672206104,53
8.872205323,53
9.072206417,53
9.297206209,53
9.497206052,54
9.697206261,54
9.897205792,50
10.122212823,4
10.322206104,4
10.522205948,4
10.722206365,4
10.947206052,4
11.147206313,4
11.347205531,4
11.547204698,4
11.772206052,4
11.972206573,4
12.17220475,4
12.372205688,4
12.597206,4
12.797206104,4
12.997204959,4
13.197206052,4
13.422206261,4
13.622206052,4
13.822206313,4
14.022206156,4
14.247206104,5
14.447205115,6
14.647206104,8
14.847206,10
15.072205011,11
15.272206417,11
15.472207615,11
15.672206261,11
15.872207823,11
16.097208084,11
16.297205896,11
16.497206156,11
16.697206104,11
16.922204698,11
17.122204698,11
17.322204698,12
17.522205011,11
17.747207667,11
17.947206209,12
18.147205688,12
